age,weight,height,exercise,sleep,sugar_intake,smoking,alcohol,married,profession,bmi,health_risk
59,84,199,medium,6.2,low,no,yes,no,doctor,21.2,high
57,76,152,medium,5.4,medium,no,no,yes,doctor,32.9,high
68,96,173,low,7.2,medium,no,no,yes,engineer,32.1,high
70,79,151,medium,6.4,high,no,no,no,student,34.6,high
74,64,184,high,9.7,medium,no,no,no,teacher,18.9,low
21,88,158,low,7.6,medium,no,no,yes,farmer,35.3,high
63,54,190,none,7.0,low,no,no,no,teacher,15.0,high
23,82,187,low,4.4,low,no,yes,no,student,23.4,high
41,101,166,high,8.2,medium,no,yes,no,doctor,36.7,high
71,55,197,medium,7.7,high,yes,no,yes,teacher,14.2,high
36,49,182,low,4.5,medium,no,no,yes,driver,14.8,low
30,86,177,low,6.2,medium,yes,no,yes,student,27.5,high
19,97,171,medium,7.5,medium,no,yes,no,office_worker,33.2,high
65,100,149,medium,7.6,high,yes,no,yes,farmer,45.0,high
56,96,157,medium,6.8,medium,no,no,no,farmer,38.9,high
53,100,182,medium,8.5,low,no,no,yes,engineer,30.2,high
37,99,161,medium,10.0,low,no,yes,yes,office_worker,38.2,high
70,67,180,low,5.5,high,no,no,yes,driver,20.7,high
38,54,158,low,7.1,low,no,yes,no,office_worker,21.6,low
78,45,198,high,6.1,high,no,yes,yes,engineer,11.5,high
19,89,184,none,5.7,medium,yes,no,yes,student,26.3,high
51,100,150,medium,7.5,medium,no,no,no,teacher,44.4,high
29,51,156,medium,6.0,low,no,no,no,farmer,21.0,low
73,106,160,high,7.1,high,no,no,no,doctor,41.4,high
40,84,148,medium,8.1,low,no,no,yes,office_worker,38.3,low
22,99,171,low,9.5,medium,yes,no,no,doctor,33.9,high
51,45,146,high,6.7,low,yes,no,yes,engineer,21.1,high
66,98,173,medium,8.7,medium,no,no,yes,driver,32.7,high
25,83,189,medium,7.0,medium,no,no,no,artist,23.2,low
43,56,150,medium,6.9,medium,no,yes,no,artist,24.9,low
72,50,174,none,4.9,high,no,no,yes,farmer,16.5,high
79,55,179,medium,5.5,low,no,no,no,student,17.2,high
71,68,193,high,4.9,medium,no,no,yes,student,18.3,high
53,52,155,low,5.5,high,no,no,yes,office_worker,21.6,high
77,46,145,none,6.1,low,no,no,no,office_worker,21.9,high
29,48,166,low,10.0,medium,yes,yes,no,student,17.4,high
26,57,156,high,7.6,low,no,no,no,artist,23.4,low
67,97,172,high,5.6,low,no,no,yes,artist,32.8,high
59,92,161,low,7.8,medium,no,no,no,doctor,35.5,high
70,87,188,medium,6.9,medium,no,yes,yes,farmer,24.6,high
75,55,173,none,9.5,medium,no,yes,no,student,18.4,high
76,83,146,high,6.7,medium,no,no,yes,doctor,38.9,high
25,46,156,none,9.2,medium,no,no,no,farmer,18.9,low
68,101,164,medium,4.0,low,no,yes,yes,farmer,37.6,high
55,103,150,none,10.0,medium,no,no,yes,driver,45.8,high
40,52,190,low,5.3,medium,yes,no,yes,office_worker,14.4,high
52,89,161,medium,4.5,low,yes,no,yes,driver,34.3,high
70,47,166,medium,5.6,medium,yes,no,no,doctor,17.1,high
23,86,154,medium,5.4,low,yes,yes,yes,engineer,36.3,high
71,66,169,low,8.5,low,no,no,no,doctor,23.1,high
37,52,162,medium,7.6,medium,no,no,yes,driver,19.8,low
19,94,162,medium,6.5,medium,no,no,yes,student,35.8,low
66,62,147,high,7.2,medium,no,no,no,farmer,28.7,high
52,103,156,high,9.5,medium,yes,no,yes,teacher,42.3,high
32,57,160,medium,5.3,medium,yes,no,yes,doctor,22.3,high
57,101,197,low,6.9,low,no,no,yes,doctor,26.0,high
53,74,188,low,6.9,high,yes,yes,no,artist,20.9,high
78,74,175,high,7.5,medium,yes,no,no,office_worker,24.2,high
64,56,181,medium,8.1,low,no,no,no,doctor,17.1,low
75,61,170,none,6.7,low,no,yes,no,driver,21.1,high
23,103,147,low,10.0,low,no,no,yes,office_worker,47.7,high
44,87,174,medium,5.1,medium,no,no,yes,artist,28.7,high
46,85,185,none,7.7,medium,no,no,yes,doctor,24.8,low
26,104,194,medium,8.1,low,no,yes,no,office_worker,27.6,high
71,106,149,low,6.1,high,no,no,yes,artist,47.7,high
65,51,182,none,6.9,medium,yes,no,no,doctor,15.4,high
21,59,167,medium,7.7,low,no,yes,yes,doctor,21.2,low
23,66,199,medium,4.9,medium,no,yes,yes,student,16.7,low
61,69,150,medium,6.5,low,no,no,no,driver,30.7,high
36,71,180,medium,6.2,high,yes,no,yes,artist,21.9,high
35,104,166,none,5.1,medium,no,yes,no,engineer,37.7,high
25,83,190,low,7.6,medium,no,no,yes,driver,23.0,low
75,60,163,medium,7.7,low,yes,no,yes,driver,22.6,high
73,105,175,low,6.6,low,no,no,yes,doctor,34.3,high
25,93,146,low,9.4,high,no,no,no,student,43.6,high
26,69,172,low,6.9,low,yes,no,yes,teacher,23.3,high
72,91,161,medium,6.1,medium,no,no,no,farmer,35.1,high
75,83,197,high,9.4,medium,no,no,no,doctor,21.4,low
77,94,167,low,6.7,medium,no,no,yes,office_worker,33.7,high
30,100,158,low,5.1,medium,no,no,yes,doctor,40.1,high
49,85,174,high,3.7,medium,no,no,no,student,28.1,high
34,102,173,medium,6.8,high,yes,yes,no,artist,34.1,high
22,97,185,low,7.7,low,no,no,yes,farmer,28.3,high
74,69,188,low,7.9,medium,no,no,no,engineer,19.5,high
20,68,185,high,9.0,medium,no,no,yes,office_worker,19.9,low
39,67,174,medium,8.6,low,no,no,no,farmer,22.1,low
26,94,174,medium,6.8,medium,no,no,no,artist,31.0,low
30,46,198,medium,5.9,medium,yes,yes,yes,doctor,11.7,high
29,48,151,none,5.6,high,no,yes,no,teacher,21.1,high
30,89,182,medium,10.0,high,no,no,yes,office_worker,26.9,high
39,80,189,high,7.5,low,no,no,yes,engineer,22.4,low
66,51,154,none,6.5,low,no,no,yes,driver,21.5,high
35,97,170,low,5.3,medium,yes,no,no,artist,33.6,high
42,52,160,high,5.2,medium,no,no,yes,doctor,20.3,low
60,67,158,medium,7.7,low,no,no,yes,driver,26.8,high
62,85,150,low,7.5,medium,no,no,no,student,37.8,high
66,95,187,low,9.8,medium,no,no,yes,engineer,27.2,high
57,106,146,high,9.8,medium,no,no,no,office_worker,49.7,high
56,58,158,medium,9.6,medium,no,no,yes,office_worker,23.2,low
28,62,155,low,8.4,medium,no,no,no,doctor,25.8,high
30,109,157,medium,4.3,medium,no,no,yes,office_worker,44.2,high
61,68,197,none,6.0,medium,no,no,yes,doctor,17.5,high
52,99,160,low,3.7,medium,no,yes,no,farmer,38.7,high
24,45,158,medium,5.5,low,yes,no,yes,artist,18.0,high
51,68,183,low,6.0,medium,yes,no,yes,doctor,20.3,high
67,79,167,medium,8.6,high,yes,yes,no,doctor,28.3,high
68,55,187,medium,6.9,low,no,no,no,farmer,15.7,low
75,51,187,low,8.2,medium,no,yes,yes,doctor,14.6,high
38,108,182,medium,6.4,medium,no,no,yes,driver,32.6,low
56,97,182,low,6.6,medium,no,no,no,office_worker,29.3,high
42,61,189,low,6.9,medium,yes,yes,yes,artist,17.1,high
72,70,173,low,6.3,low,no,no,no,office_worker,23.4,high
47,46,174,high,7.6,low,no,no,no,teacher,15.2,low
28,93,192,none,3.6,medium,no,no,no,student,25.2,high
23,83,153,medium,9.9,high,no,yes,no,teacher,35.5,high
31,82,172,low,6.1,low,no,no,yes,engineer,27.7,high
42,75,180,low,6.8,high,no,no,no,office_worker,23.1,low
46,70,186,medium,5.2,low,no,no,yes,farmer,20.2,low
23,100,157,high,5.2,medium,yes,no,yes,artist,40.6,high
63,56,173,low,9.2,low,no,yes,no,driver,18.7,high
37,90,175,high,5.7,medium,no,no,yes,artist,29.4,high
66,109,147,none,6.5,medium,no,no,yes,office_worker,50.4,high
78,76,160,none,7.8,low,no,no,yes,farmer,29.7,high
75,59,182,medium,5.2,medium,no,yes,no,doctor,17.8,high
50,45,149,medium,9.4,low,no,no,yes,driver,20.3,low
40,51,163,high,8.2,low,yes,yes,yes,teacher,19.2,high
27,65,177,none,8.2,medium,no,no,no,student,20.7,low
72,51,163,low,7.4,medium,yes,no,yes,artist,19.2,high
72,91,185,high,6.2,medium,no,yes,yes,driver,26.6,high
65,49,166,high,5.6,low,no,yes,no,teacher,17.8,high
33,76,170,high,8.0,medium,no,no,yes,doctor,26.3,low
37,48,155,medium,7.1,medium,yes,no,yes,farmer,20.0,low
34,107,163,none,6.3,low,no,no,yes,teacher,40.3,high
19,83,151,medium,8.8,low,yes,no,no,farmer,36.4,high
77,93,156,medium,7.3,medium,no,yes,yes,student,38.2,high
36,92,176,high,5.8,medium,no,no,no,engineer,29.7,high
73,59,186,high,7.9,medium,no,no,no,driver,17.1,low
50,52,154,none,8.7,medium,no,no,yes,engineer,21.9,low
55,61,193,low,6.9,medium,yes,yes,no,office_worker,16.4,high
27,46,148,low,7.2,medium,no,no,no,artist,21.0,low
43,107,158,medium,6.6,low,no,no,yes,student,42.9,low
23,71,188,high,6.1,medium,no,yes,yes,student,20.1,low
58,58,151,none,10.0,medium,no,no,no,teacher,25.4,high
33,90,153,high,5.6,medium,no,no,yes,engineer,38.4,high
30,73,187,medium,5.4,low,no,no,no,doctor,20.9,low
46,63,186,high,5.9,high,no,no,yes,student,18.2,low
45,100,195,medium,8.8,low,no,no,yes,artist,26.3,low
38,47,194,medium,4.8,high,no,yes,yes,doctor,12.5,high
77,62,198,medium,7.8,low,yes,no,no,doctor,15.8,high
31,106,199,medium,6.6,medium,no,no,yes,office_worker,26.8,low
21,75,188,low,10.0,medium,no,no,no,driver,21.2,low
51,73,195,medium,5.6,medium,yes,no,no,artist,19.2,high
33,64,181,high,6.3,low,no,yes,no,engineer,19.5,low
47,68,169,medium,7.3,high,no,no,no,farmer,23.8,low
66,106,170,low,8.0,low,no,no,yes,doctor,36.7,high
61,59,152,high,7.0,high,no,no,no,farmer,25.5,high
57,65,188,medium,7.8,high,no,no,yes,artist,18.4,high
35,83,170,high,6.5,medium,no,no,yes,teacher,28.7,low
64,86,156,low,7.8,low,no,no,no,farmer,35.3,high
68,107,150,medium,4.9,low,no,yes,yes,student,47.6,high
39,73,153,none,7.2,high,no,no,yes,office_worker,31.2,high
45,55,184,high,6.5,low,no,no,no,teacher,16.2,low
22,59,161,high,6.4,medium,no,no,yes,driver,22.8,low
49,87,173,medium,6.8,high,no,no,no,farmer,29.1,high
62,47,198,none,7.0,low,no,yes,no,artist,12.0,high
62,75,192,high,6.9,medium,yes,no,no,office_worker,20.3,high
71,57,166,medium,4.6,low,no,yes,no,engineer,20.7,high
45,102,197,none,7.4,medium,no,no,yes,office_worker,26.3,high
23,45,197,high,5.4,medium,no,no,no,engineer,11.6,low
40,61,169,medium,6.3,low,no,no,yes,student,21.4,low
25,95,189,low,6.2,low,no,no,yes,teacher,26.6,high
61,59,187,medium,8.1,low,no,no,yes,engineer,16.9,low
63,102,159,low,7.2,high,no,no,yes,doctor,40.3,high
53,78,165,medium,6.0,medium,no,no,yes,doctor,28.7,high
48,96,180,low,9.1,low,no,no,no,driver,29.6,high
64,86,183,high,7.6,low,no,no,yes,driver,25.7,high
64,65,179,medium,5.7,low,no,no,no,office_worker,20.3,high
28,48,197,high,8.7,medium,no,no,no,artist,12.4,low
53,79,164,low,9.0,low,no,yes,yes,farmer,29.4,high
39,106,182,high,5.7,medium,yes,yes,yes,student,32.0,high
77,109,173,high,6.4,medium,no,yes,no,driver,36.4,high
31,74,190,high,4.1,medium,no,no,yes,office_worker,20.5,low
55,94,164,high,4.9,medium,no,no,yes,engineer,34.9,high
30,76,180,medium,7.4,low,no,no,no,teacher,23.5,low
39,86,162,medium,5.8,medium,no,no,no,doctor,32.8,high
55,46,160,low,7.8,high,no,no,no,office_worker,18.0,high
59,55,172,high,7.9,medium,yes,no,no,office_worker,18.6,high
19,103,188,none,7.3,low,no,yes,yes,engineer,29.1,high
57,52,181,medium,5.3,medium,no,yes,yes,office_worker,15.9,high
22,45,164,high,6.9,low,no,no,yes,student,16.7,low
62,107,160,none,6.1,medium,no,no,no,farmer,41.8,high
34,106,185,medium,5.4,medium,no,no,no,doctor,31.0,high
46,109,185,medium,6.6,low,no,yes,no,doctor,31.8,high
75,47,161,medium,5.7,medium,no,yes,no,engineer,18.1,high
62,64,160,medium,6.1,medium,no,no,yes,engineer,25.0,low
46,83,148,medium,5.3,high,yes,no,no,engineer,37.9,high
55,105,182,high,7.8,medium,no,no,no,engineer,31.7,high
77,63,154,medium,5.7,low,no,no,no,student,26.6,high
62,49,196,high,6.9,medium,no,no,no,farmer,12.8,low
34,58,174,none,8.0,low,no,no,no,engineer,19.2,low
30,86,172,medium,7.8,medium,no,no,no,farmer,29.1,low
50,49,194,none,6.4,medium,no,no,yes,doctor,13.0,low
72,53,175,medium,8.0,high,no,no,yes,doctor,17.3,high
69,88,167,high,6.1,low,no,yes,no,student,31.6,high
45,98,192,none,4.8,medium,no,no,yes,teacher,26.6,high
50,100,164,none,6.2,low,no,yes,no,artist,37.2,high
28,47,168,high,6.2,medium,yes,no,yes,doctor,16.7,low
48,97,173,none,7.3,low,no,no,yes,teacher,32.4,high
36,87,180,low,7.1,low,no,no,no,doctor,26.9,high
37,61,164,low,7.5,high,no,yes,no,teacher,22.7,high
76,57,160,none,7.5,low,no,no,no,driver,22.3,high
43,56,176,high,8.7,high,no,no,yes,artist,18.1,low
59,60,151,low,7.4,high,no,no,yes,engineer,26.3,high
21,92,182,medium,8.2,low,no,no,no,student,27.8,low
66,91,151,low,6.2,high,no,no,yes,engineer,39.9,high
25,81,166,low,7.1,medium,no,no,no,farmer,29.4,high
28,68,194,medium,10.0,medium,no,yes,no,office_worker,18.1,low
29,48,153,medium,7.7,low,yes,no,yes,artist,20.5,low
59,64,150,none,8.5,high,no,yes,no,teacher,28.4,high
73,61,186,medium,6.7,low,no,no,no,student,17.6,low
45,81,199,medium,8.4,high,yes,yes,yes,teacher,20.5,high
26,74,163,medium,7.1,low,yes,no,yes,doctor,27.9,high
57,67,178,high,6.0,medium,no,no,no,engineer,21.1,low
70,66,152,high,5.7,medium,no,yes,no,doctor,28.6,high
45,67,187,medium,7.8,medium,no,no,yes,teacher,19.2,low
70,64,192,medium,5.7,medium,no,no,no,student,17.4,high
54,46,179,medium,7.3,high,no,no,no,office_worker,14.4,high
57,63,181,low,3.7,low,no,yes,yes,engineer,19.2,high
35,63,156,low,5.8,medium,no,no,no,artist,25.9,high
31,90,176,none,8.5,medium,no,no,yes,engineer,29.1,high
35,46,187,low,3.8,medium,no,no,yes,driver,13.2,low
33,67,160,none,6.8,medium,no,yes,no,farmer,26.2,high
75,77,179,low,5.5,low,no,no,no,artist,24.0,high
71,103,191,high,5.6,medium,yes,no,no,artist,28.2,high
46,78,191,medium,7.0,medium,no,no,no,engineer,21.4,low
23,108,169,medium,8.6,medium,no,no,yes,teacher,37.8,low
65,98,190,none,7.8,medium,yes,no,yes,office_worker,27.1,high
49,60,186,high,6.2,medium,yes,no,no,doctor,17.3,low
54,91,177,medium,5.8,high,yes,no,yes,engineer,29.0,high
37,93,194,medium,5.7,medium,no,yes,no,student,24.7,low
76,91,183,high,7.9,low,no,no,yes,teacher,27.2,high
52,67,192,high,9.1,high,no,no,yes,office_worker,18.2,high
51,48,178,high,9.4,medium,no,no,no,doctor,15.1,low
42,102,149,low,9.8,medium,no,no,yes,doctor,45.9,high
41,66,148,medium,8.6,low,no,yes,yes,engineer,30.1,high
21,53,193,medium,7.1,medium,no,no,no,student,14.2,low
47,46,161,medium,7.7,low,no,yes,yes,student,17.7,low
18,108,193,medium,4.5,low,no,no,yes,artist,29.0,high
62,57,183,high,8.3,medium,no,no,yes,farmer,17.0,low
67,90,153,none,8.4,medium,yes,no,yes,artist,38.4,high
48,73,164,high,7.1,medium,no,yes,yes,student,27.1,high
71,70,182,high,5.9,medium,yes,yes,yes,farmer,21.1,high
51,95,159,high,8.4,medium,yes,no,yes,doctor,37.6,high
30,71,153,medium,7.6,low,yes,yes,no,artist,30.3,high
35,107,182,none,7.6,medium,no,no,no,teacher,32.3,high
76,102,156,medium,5.8,low,no,no,yes,farmer,41.9,high
52,77,192,none,8.4,low,yes,no,yes,office_worker,20.9,high
39,90,166,medium,6.4,medium,no,yes,no,doctor,32.7,high
71,66,196,medium,6.8,low,no,no,yes,office_worker,17.2,low
51,101,170,low,7.2,high,no,no,yes,student,34.9,high
50,75,198,high,6.5,medium,no,no,yes,engineer,19.1,low
45,59,178,medium,7.7,medium,no,yes,no,teacher,18.6,low
66,77,157,medium,6.0,medium,yes,no,no,farmer,31.2,high
32,48,163,medium,6.6,medium,no,yes,yes,office_worker,18.1,low
67,105,148,low,9.7,medium,no,no,yes,student,47.9,high
76,86,198,medium,8.0,medium,no,yes,no,student,21.9,high
50,107,165,low,5.0,low,no,yes,yes,office_worker,39.3,high
50,67,196,none,6.9,medium,no,yes,yes,teacher,17.4,low
23,67,175,medium,7.7,medium,no,no,yes,office_worker,21.9,low
77,73,152,low,7.9,high,no,yes,yes,teacher,31.6,high
19,69,193,high,7.3,low,no,yes,yes,farmer,18.5,low
67,103,159,none,7.3,low,yes,yes,yes,student,40.7,high
51,77,163,high,6.2,medium,no,yes,yes,teacher,29.0,high
54,60,186,high,5.0,high,no,no,no,student,17.3,high
50,64,150,medium,6.4,low,no,no,yes,teacher,28.4,low
46,73,168,low,6.6,low,no,no,no,driver,25.9,high
73,108,192,medium,4.7,medium,no,yes,no,artist,29.3,high
50,66,160,medium,6.0,medium,yes,no,yes,engineer,25.8,high
79,98,165,medium,7.5,medium,no,no,yes,engineer,36.0,high
53,51,176,none,6.4,medium,no,no,no,office_worker,16.5,high
66,92,146,medium,10.0,high,no,yes,yes,teacher,43.2,high
47,57,194,low,7.8,high,no,no,yes,doctor,15.1,low
32,56,179,low,7.0,low,no,yes,yes,engineer,17.5,low
76,78,158,low,8.7,low,yes,no,yes,farmer,31.2,high
29,81,175,none,5.3,medium,yes,no,no,doctor,26.4,high
41,61,186,none,7.6,low,yes,no,yes,student,17.6,high
33,82,151,none,5.3,medium,no,yes,no,teacher,36.0,high
69,107,170,low,8.5,medium,no,no,yes,artist,37.0,high
64,67,156,medium,6.3,medium,yes,no,yes,artist,27.5,high
41,93,150,medium,7.4,medium,no,no,no,student,41.3,low
76,102,150,low,9.1,medium,no,yes,yes,artist,45.3,high
77,64,180,high,6.9,medium,no,no,no,student,19.8,low
76,99,163,high,9.1,medium,no,no,no,student,37.3,high
77,109,147,low,6.8,medium,no,no,yes,farmer,50.4,high
49,103,179,medium,5.5,medium,no,yes,yes,driver,32.1,high
73,59,192,high,4.4,low,no,no,no,driver,16.0,high
49,91,173,high,5.2,medium,no,no,no,teacher,30.4,high
50,71,157,low,8.8,low,no,no,yes,driver,28.8,high
79,92,157,low,8.5,medium,no,yes,yes,office_worker,37.3,high
52,108,160,medium,3.7,low,no,no,no,artist,42.2,high
67,66,145,medium,6.5,medium,no,no,yes,farmer,31.4,high
78,102,165,low,7.5,medium,yes,yes,yes,artist,37.5,high
24,50,148,high,7.0,medium,no,no,yes,doctor,22.8,low
25,60,199,high,5.9,medium,yes,no,no,driver,15.2,high
23,80,158,high,7.2,medium,no,no,yes,doctor,32.0,low
38,98,194,medium,8.4,medium,no,no,yes,driver,26.0,low
44,109,154,none,6.4,medium,yes,no,yes,artist,46.0,high
75,73,199,high,8.4,high,no,no,no,engineer,18.4,high
35,72,177,medium,8.5,medium,no,no,yes,office_worker,23.0,low
55,82,176,low,8.2,medium,yes,yes,yes,engineer,26.5,high
76,61,199,medium,7.6,medium,yes,yes,yes,doctor,15.4,high
45,61,193,high,8.4,medium,no,no,yes,artist,16.4,low
59,92,157,medium,5.6,medium,no,no,yes,office_worker,37.3,high
68,87,173,low,6.5,medium,yes,no,yes,student,29.1,high
65,101,191,none,6.4,low,no,yes,yes,driver,27.7,high
21,54,197,medium,5.6,high,no,no,no,office_worker,13.9,low
72,104,184,high,8.6,medium,no,no,yes,farmer,30.7,high
42,66,184,high,5.0,medium,no,yes,yes,office_worker,19.5,low
70,65,178,medium,6.8,medium,yes,yes,no,office_worker,20.5,high
54,50,193,medium,7.0,medium,yes,no,no,office_worker,13.4,high
50,71,176,high,7.3,low,no,no,yes,doctor,22.9,low
54,107,160,medium,9.1,high,no,no,yes,doctor,41.8,high
74,52,175,high,7.0,medium,yes,no,no,doctor,17.0,high
21,100,163,low,7.6,low,no,no,yes,teacher,37.6,high
47,64,174,medium,7.6,medium,yes,no,no,farmer,21.1,low
59,95,173,medium,7.0,low,no,yes,no,teacher,31.7,high
54,88,190,low,3.8,low,no,yes,no,student,24.4,high
28,106,182,medium,6.3,medium,no,yes,no,student,32.0,high
75,71,147,medium,8.3,medium,no,yes,yes,teacher,32.9,high
27,89,188,low,8.8,low,no,no,yes,teacher,25.2,high
39,78,167,medium,9.2,medium,yes,no,yes,driver,28.0,high
42,102,184,medium,5.5,high,no,no,yes,farmer,30.1,high
47,56,166,low,5.2,high,no,no,yes,office_worker,20.3,high
64,67,195,medium,7.2,low,no,no,yes,student,17.6,low
76,50,181,low,7.1,medium,yes,no,yes,doctor,15.3,high
77,90,170,medium,7.3,low,no,no,yes,farmer,31.1,high
43,86,176,medium,7.4,medium,no,no,yes,student,27.8,low
62,47,199,medium,9.1,medium,no,no,no,driver,11.9,low
68,109,154,high,6.0,low,no,yes,no,student,46.0,high
45,83,171,low,8.0,medium,no,no,no,teacher,28.4,high
66,64,196,none,8.1,medium,no,yes,yes,driver,16.7,high
74,63,194,high,8.3,medium,no,no,no,driver,16.7,low
26,95,150,high,5.7,medium,no,no,yes,student,42.2,high
32,89,169,high,8.6,medium,no,no,no,office_worker,31.2,low
55,54,190,low,4.7,low,no,no,yes,office_worker,15.0,high
26,88,174,none,9.1,low,no,no,no,artist,29.1,high
54,73,165,low,6.4,low,yes,no,no,doctor,26.8,high
69,83,194,high,4.5,low,no,yes,yes,office_worker,22.1,high
58,105,175,medium,6.1,low,yes,no,no,teacher,34.3,high
39,90,172,medium,6.8,medium,no,no,no,doctor,30.4,low
62,72,198,medium,8.7,medium,yes,no,no,engineer,18.4,high
41,99,181,low,4.8,medium,no,yes,yes,student,30.2,high
36,92,163,medium,4.4,low,no,no,no,teacher,34.6,high
44,100,160,high,8.4,medium,no,no,no,engineer,39.1,low
50,91,151,medium,7.6,medium,yes,yes,yes,doctor,39.9,high
19,97,197,low,5.7,medium,no,no,yes,farmer,25.0,low
20,59,181,low,7.0,high,no,no,no,driver,18.0,low
33,108,190,none,7.0,medium,yes,no,yes,student,29.9,high
64,85,167,low,7.6,high,yes,no,yes,teacher,30.5,high
40,97,161,medium,6.7,medium,no,no,yes,driver,37.4,low
42,75,187,medium,7.2,low,no,no,yes,driver,21.4,low
77,92,198,medium,3.6,low,no,no,yes,artist,23.5,high
67,64,173,medium,7.7,medium,no,no,no,engineer,21.4,low
50,68,152,medium,6.6,high,no,yes,no,driver,29.4,high
19,67,147,medium,6.7,medium,no,no,no,doctor,31.0,low
54,61,182,medium,9.8,high,no,yes,no,office_worker,18.4,high
74,74,174,none,7.3,low,no,no,no,student,24.4,high
41,52,149,low,7.1,medium,no,no,yes,artist,23.4,low
73,100,146,low,6.2,medium,no,no,no,student,46.9,high
70,73,194,medium,6.5,medium,no,no,no,artist,19.4,low
42,63,145,medium,9.2,medium,no,no,yes,teacher,30.0,low
39,86,183,low,7.4,low,no,no,yes,engineer,25.7,high
40,94,175,none,8.7,high,yes,no,yes,driver,30.7,high
43,92,177,low,5.7,low,yes,no,no,artist,29.4,high
44,54,171,high,5.8,medium,no,no,yes,farmer,18.5,low
41,76,145,low,6.3,medium,no,no,yes,student,36.1,high
26,71,153,high,7.0,high,yes,yes,no,teacher,30.3,high
64,79,146,none,7.0,medium,no,no,no,farmer,37.1,high
65,47,148,medium,5.6,medium,no,yes,yes,office_worker,21.5,high
56,95,197,low,8.4,medium,no,yes,yes,teacher,24.5,high
50,47,194,high,9.9,medium,no,no,yes,engineer,12.5,low
20,89,188,high,6.9,medium,no,no,no,artist,25.2,low
52,49,157,medium,5.1,low,no,no,yes,student,19.9,high
51,72,147,low,6.5,medium,yes,no,yes,teacher,33.3,high
